ncbi_name	myco_name	has_ascomycota	has_basidiomycota	has_glomeromycotina	has_mucoromycotina
Abies_alba	Abies_alba	1	1	0	0
Abies_balsamea	Abies_balsamea	1	1	0	0
Abies_homolepis	Abies_homolepis	1	1	0	0
Abies_magnifica	Abies_magnifica	0	1	0	0
Abies_nordmanniana	Abies_nordmanniana	0	1	0	0
Abies_religiosa	Abies_religiosa	1	1	0	0
Acacia_mangium	Acacia_mangium	0	1	1	0
Acanthus_ilicifolius	Acanthus_ilicifolius	0	0	1	0
Acer_macrophyllum	Acer_macrophyllum	0	0	1	0
Acer_platanoides	Acer_platanoides	0	0	1	0
Acer_pseudoplatanus	Acer_pseudoplatanus	0	0	1	0
Achillea_millefolium	Achillea_millefolium	0	0	1	0
Acianthus_exsertus	Acianthus_exsertus	0	1	0	0
Aegiceras_corniculatum	Aegiceras_corniculatum	0	0	1	0
Aegopodium_podagraria	Aegopodium_podagraria	0	0	1	0
Afrocarpus_falcatus	Afrocarpus_falcatus	0	0	1	0
Afzelia_africana	Afzelia_africana	0	1	0	0
Agarista_salicifolia	Agarista_salicifolia	0	1	0	0
Agrostis_capillaris	Agrostis_capillaris	0	0	1	0
Agrostis_scabra	Agrostis_scabra	0	0	1	0
Agrostis_stolonifera	Agrostis_stolonifera	0	0	1	0
Ajuga_reptans	Ajuga_reptans	0	0	1	0
Allium_ampeloprasum_var._holmense	Allium_ampeloprasum	0	0	1	0
Allium_ampeloprasum_var._babingtonii	Allium_ampeloprasum	0	0	1	0
Allium_cepa_var._aggregatum	Allium_cepa	0	0	1	0
Allium_fistulosum	Allium_fistulosum	0	0	1	0
Alnus_acuminata	Alnus_acuminata	0	1	0	0
Alnus_alnobetula	Alnus_alnobetula	0	1	0	0
Alnus_cordata	Alnus_cordata	0	1	0	0
Alnus_glutinosa	Alnus_glutinosa	1	1	1	0
Alnus_incana	Alnus_incana	1	1	1	0
Alnus_nitida	Alnus_nitida	1	1	0	0
Alnus_rubra	Alnus_rubra	0	1	0	0
Alzatea_verticillata	Alzatea_verticillata	0	0	1	0
Ammophila_arenaria	Ammophila_arenaria	0	0	1	0
Ammophila_breviligulata	Ammophila_breviligulata	0	0	1	0
Anacamptis_laxiflora	Anacamptis_laxiflora	0	1	0	0
Anacamptis_morio_subsp._longicornu	Anacamptis_morio	1	1	0	0
Anacamptis_morio_subsp._champagneuxii	Anacamptis_morio	1	1	0	0
Anagallis_arvensis	Anagallis_arvensis	0	0	1	0
Andromeda_polifolia	Andromeda_polifolia	1	1	0	0
Andropogon_gerardii	Andropogon_gerardii	0	0	1	0
Anemone_patens	Anemone_patens	0	0	1	0
Anisoptera_costata	Anisoptera_costata	0	1	0	0
Antennaria_dioica	Antennaria_dioica	0	0	1	0
Anthoxanthum_odoratum	Anthoxanthum_odoratum	0	0	1	0
Aphyllorchis_montana	Aphyllorchis_montana	1	1	0	0
Arachis_hypogaea_var._aequatoriana	Arachis_hypogaea	0	0	1	0
Arachis_hypogaea_var._hirsuta	Arachis_hypogaea	0	0	1	0
Arachis_hypogaea_var._hypogaea	Arachis_hypogaea	0	0	1	0
